Idx_Sample,SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,SO3,TiO2,P2O5,SrO,Mn2O3,MnO,LOI,FA (kg/m3),GGBFS (kg/m3),SF (kg/m3),Coarse aggregate (kg/m3),Fine aggregate (kg/m3),Na2SiO3,NaOH,Na2SiO3 specific gravity,Total solution,Na2O (l),Sio2 (l),H2O,Na2O (Dry),Sio2 (Dry),Water,Total NaOH,Concentration (M) NaOH,Water,NaOH (Dry),Additional water,Superplasticizer,water -eff,Initial curing time (day),Initial curing temp (C),Final curing temp (C),Mixture CO2 (Na2SiO3 as solution),1-d Cubic compressive strength (MPa)
192,51.3,30.1,4.57,8.73,0,0,1.56,1.4,0.698,1.6,0,0,0,0,400,0,0,950,850,143,57,0,143,0.1426,0.2943,0.56,20.39,42.08,80.5233,57,12,29.64,27.36,48,28,174.9633,1,70,24,195.6294,45.01
193,51.3,30.1,4.57,8.73,0,0,1.56,1.4,0.698,1.6,0,0,0,0,400,0,0,950,850,143,57,0,143,0.1426,0.2943,0.56,20.39,42.08,80.5233,57,12,29.64,27.36,48,28,174.9633,2,70,24,224.5044,51.03
194,51.3,30.1,4.57,8.73,0,0,1.56,1.4,0.698,1.6,0,0,0,0,400,0,0,950,850,143,57,0,143,0.1426,0.2943,0.56,20.39,42.08,80.5233,57,12,29.64,27.36,48,28,174.9633,3,70,24,253.3794,51.41
195,51.3,30.1,4.57,8.73,0,0,1.56,1.4,0.698,1.6,0,0,0,0,400,0,0,950,850,143,57,0,143,0.1426,0.2943,0.56,20.39,42.08,80.5233,57,12,29.64,27.36,48,28,174.9633,4,70,24,282.2544,51.68
196,51.3,30.1,4.57,8.73,0,0,1.56,1.4,0.698,1.6,0,0,0,0,400,0,0,950,850,143,57,0,143,0.1426,0.2943,0.56,20.39,42.08,80.5233,57,12,29.64,27.36,48,28,174.9633,2,60,24,211.671066666667,44.81
197,51.3,30.1,4.57,8.73,0,0,1.56,1.4,0.698,1.6,0,0,0,0,400,0,0,950,850,143,57,0,143,0.1426,0.2943,0.56,20.39,42.08,80.5233,57,12,29.64,27.36,48,28,174.9633,2,70,24,224.5044,51.03
198,51.3,30.1,4.57,8.73,0,0,1.56,1.4,0.698,1.6,0,0,0,0,400,0,0,950,850,143,57,0,143,0.1426,0.2943,0.56,20.39,42.08,80.5233,57,12,29.64,27.36,48,28,174.9633,2,80,24,237.337733333333,48.56
199,51.3,30.1,4.57,8.73,0,0,1.56,1.4,0.698,1.6,0,0,0,0,400,0,0,950,850,143,57,0,143,0.1426,0.2943,0.56,20.39,42.08,80.5233,57,12,29.64,27.36,48,28,174.9633,2,90,24,250.171066666667,47.99
416,51.3,30.1,4.57,8.73,0,0,1.56,1.4,0.7,1.6,0,0,0,0,400,0,0,950,850,143,57,0,143,0.1436,0.2943,0.56,20.53,42.08,80.3803,57,8,38.76,18.24,48,24,181.5403,2,70,24,199.5196,46.98
417,53.245,28.636,4.425,8.3555,0,0,1.683,1.4,0.665,1.52,0,0,0,0,400,0,20,950,850,143,58,0,143,0.1436,0.2943,0.56,20.53,42.08,80.3803,58,10,34.8,23.2,48,24,177.5803,2,70,24,209.298,48.22
418,55.19,27.172,4.28,7.981,0,0,1.806,1.4,0.63,1.44,0,0,0,0,400,0,40,950,850,143,59,0,143,0.1436,0.2943,0.56,20.53,42.08,80.3803,59,12,30.68,28.32,48,24,173.4603,2,70,24,219.3828,50.25
419,57.135,25.708,4.135,7.6065,0,0,1.929,1.4,0.595,1.36,0,0,0,0,400,0,60,950,850,143,60,0,143,0.1436,0.2943,0.56,20.53,42.08,80.3803,60,14,26.4,33.6,48,24,169.1803,2,70,24,229.774,48.84
481,57.3,27.13,8.06,0.03,2.13,0.73,0,1.06,0,0,0,0,0,1.6,428,0,0,1170,630,122,49,0,122,0.1684,0.3501,0.48,20.54,42.71,58.743,49,14,21.56,27.44,43,8.5,128.403,1,75,24,154.882933333333,30
482,57.3,27.13,8.06,0.03,2.13,0.73,0,1.06,0,0,0,0,0,1.6,444,0,0,1170,630,111,44,0,111,0.1684,0.3501,0.48,18.69,38.86,53.4465,44,14,19.36,24.64,43,9,121.2065,1,75,24,146.564933333333,30
483,57.3,27.13,8.06,0.03,2.13,0.73,0,1.06,0,0,0,0,0,1.6,428,0,0,1170,630,114,57,0,114,0.1684,0.3501,0.48,19.2,39.91,54.891,57,14,25.08,31.92,43,8.5,128.071,1,75,24,160.582133333333,40
484,57.3,27.13,8.06,0.03,2.13,0.73,0,1.06,0,0,0,0,0,1.6,428,0,0,1170,630,122,49,0,122,0.1684,0.3501,0.48,20.54,42.71,58.743,49,14,21.56,27.44,43,8.5,128.403,1,75,24,154.882933333333,28
485,57.3,27.13,8.06,0.03,2.13,0.73,0,1.06,0,0,0,0,0,1.6,428,0,0,1170,630,122,49,0,122,0.1684,0.3501,0.48,20.54,42.71,58.743,49,14,21.56,27.44,43,8.5,128.403,2,75,24,186.966266666667,32
486,57.3,27.13,8.06,0.03,2.13,0.73,0,1.06,0,0,0,0,0,1.6,428,0,0,1170,630,122,49,0,122,0.1684,0.3501,0.48,20.54,42.71,58.743,49,14,21.56,27.44,43,8.5,128.403,2,75,24,186.966266666667,32
487,57.3,27.13,8.06,0.03,2.13,0.73,0,1.06,0,0,0,0,0,1.6,428,0,0,1170,630,122,49,0,122,0.1684,0.3501,0.48,20.54,42.71,58.743,49,14,21.56,27.44,43,13,131.103,2,75,24,195.426266666667,30
488,57.3,27.13,8.06,0.03,2.13,0.73,0,1.06,0,0,0,0,0,1.6,428,0,0,1170,630,122,49,0,122,0.1684,0.3501,0.48,20.54,42.71,58.743,49,14,21.56,27.44,43,17,133.503,2,75,24,202.946266666667,29
489,57.3,27.13,8.06,0.03,2.13,0.73,0,1.06,0,0,0,0,0,1.6,428,0,0,1170,630,122,49,0,122,0.1684,0.3501,0.48,20.54,42.71,58.743,49,14,21.56,27.44,43,8.5,128.403,2,75,24,186.966266666667,36
490,57.3,27.13,8.06,0.03,2.13,0.73,0,1.06,0,0,0,0,0,1.6,428,0,0,1170,630,122,49,0,122,0.1684,0.3501,0.48,20.54,42.71,58.743,49,14,21.56,27.44,43,8.5,128.403,2,75,24,186.966266666667,45
491,57.3,27.13,8.06,0.03,2.13,0.73,0,1.06,0,0,0,0,0,1.6,428,0,0,1170,630,114,57,0,114,0.1684,0.3501,0.48,19.2,39.91,54.891,57,8,38.76,18.24,43,4.3,139.231,1,75,24,126.488933333333,32
492,57.3,27.13,8.06,0.03,2.13,0.73,0,1.06,0,0,0,0,0,1.6,428,0,0,1170,630,114,57,0,114,0.1684,0.3501,0.48,19.2,39.91,54.891,57,10,34.2,22.8,43,4.3,134.671,1,75,24,135.221333333333,35
493,57.3,27.13,8.06,0.03,2.13,0.73,0,1.06,0,0,0,0,0,1.6,428,0,0,1170,630,114,57,0,114,0.1684,0.3501,0.48,19.2,39.91,54.891,57,12,29.64,27.36,43,4.3,130.111,1,75,24,143.953733333333,43
494,57.3,27.13,8.06,0.03,2.13,0.73,0,1.06,0,0,0,0,0,1.6,428,0,0,1170,630,114,57,0,114,0.1684,0.3501,0.48,19.2,39.91,54.891,57,14,25.08,31.92,43,4.3,125.551,1,75,24,152.686133333333,46
495,57.3,27.13,8.06,0.03,2.13,0.73,0,1.06,0,0,0,0,0,1.6,428,0,0,1170,630,114,57,0,114,0.1684,0.3501,0.48,19.2,39.91,54.891,57,14,25.08,31.92,43,4.3,125.551,1,60,24,143.061133333333,38
496,57.3,27.13,8.06,0.03,2.13,0.73,0,1.06,0,0,0,0,0,1.6,428,0,0,1170,630,114,57,0,114,0.1684,0.3501,0.48,19.2,39.91,54.891,57,14,25.08,31.92,43,4.3,125.551,1,75,24,152.686133333333,46
497,57.3,27.13,8.06,0.03,2.13,0.73,0,1.06,0,0,0,0,0,1.6,428,0,0,1170,630,114,57,0,114,0.1684,0.3501,0.48,19.2,39.91,54.891,57,14,25.08,31.92,43,4.3,125.551,1,90,24,162.311133333333,49
735,61.3,29.4,3.27,1.21,0.75,0.73,1.2,0.003,0.01,0,0,0,0,0.45,350,0,0,1167,777,118.09,59.22,1.53,59.22,0.137,0.294,0.57,8.11,17.41,33.69618,118.09,10,70.854,47.236,0,0,104.55018,1,60,24,166.158873333333,12.7
