Idx_Sample,SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,SO3,TiO2,P2O5,LOI,Cement (kg/m3),FA (kg/m3),GGBFS (kg/m3),Other SCM (kg/m3),Coarse aggregate (kg/m3),Fine aggregate (kg/m3),Na2SiO3,NaOH,NaOH specific gravity,Na2SiO3 specific gravity,Na2O (l),Sio2 (l),H2O,Na2O (Dry),Sio2 (Dry),Water,Concentration (M) NaOH,Water,NaOH (Dry),Additional water,Superplasticizer,water -eff,Initial curing time (day),Initial curing temp (C),Final curing temp (C),Mixture CO2 (Na2SiO3 as solution),7-d Cubic compressive strength (MPa)
809,60.2428571428571,27.0047619047619,2.16285714285714,3.43333333333333,1.09666666666667,0.476190476190476,0.952380952380952,0.485714285714286,0,0,2.4952380952381,20,400,0,0,865,865,100,40,0,1.5,0.114,0.301,0.59,11.4,30.1,58.5,16,14.4,25.6,35,10.5,114.2,2,50,24,163.551333333333,29.1667
810,58.3727272727273,26.0090909090909,2.22,6.1,1.18454545454545,0.454545454545455,0.909090909090909,0.563636363636364,0,0,2.49090909090909,40,400,0,0,857,857,100,40,0,1.5,0.114,0.301,0.59,11.4,30.1,58.5,16,14.4,25.6,35,10.5,114.2,2,50,24,180.274533333333,32.7778
811,56.6652173913044,25.1,2.27217391304348,8.53478260869565,1.26478260869565,0.434782608695652,0.869565217391304,0.634782608695652,0,0,2.48695652173913,60,400,0,0,850,850,100,40,0,1.5,0.114,0.301,0.59,11.4,30.1,58.5,16,14.4,25.6,35,10.5,114.2,2,50,24,197.007333333333,41.3889
812,62.3,28.1,2.1,0.5,1,0.5,1,0.4,0,0,2.5,0,350,0,0,920,920,86.42857143,34.57142857,0,1.5,0.114,0.301,0.59,9.85,26.02,50.56071429,16,12.44571429,22.12571429,35,10.5,104.3064286,2,50,24,135.540361913483,18.3529
813,62.3,28.1,2.1,0.5,1,0.5,1,0.4,0,0,2.5,0,400,0,0,875,875,100,40,0,1.5,0.114,0.301,0.59,11.4,30.1,58.5,16,14.4,25.6,35,10.5,114.2,2,50,24,146.847333333333,25.4146
814,62.3,28.1,2.1,0.5,1,0.5,1,0.4,0,0,2.5,0,450,0,0,830,830,112.5,45,0,1.5,0.114,0.301,0.59,12.83,33.86,65.8125,16,16.2,28.8,35,10.5,123.3125,2,50,24,157.243333333333,33.0189
815,62.3,28.1,2.1,0.5,1,0.5,1,0.4,0,0,2.5,0,400,0,0,875,875,100,40,0,1.5,0.114,0.301,0.59,11.4,30.1,58.5,16,14.4,25.6,35,10.5,114.2,2,50,24,146.847333333333,32.2222
816,62.3,28.1,2.1,0.5,1,0.5,1,0.4,0,0,2.5,0,450,0,0,830,830,112.5,45,0,1.5,0.114,0.301,0.59,12.83,33.86,65.8125,16,16.2,28.8,35,10.5,123.3125,2,50,24,157.243333333333,39.7222
817,56.6652173913044,25.1,2.27217391304348,8.53478260869565,1.26478260869565,0.434782608695652,0.869565217391304,0.634782608695652,0,0,2.48695652173913,60,400,0,0,875,875,100,40,0,1.5,0.114,0.301,0.59,11.4,30.1,58.5,16,14.4,25.6,35,10.5,114.2,2,50,24,197.247333333333,45
818,62.3,28.1,2.1,0.5,1,0.5,1,0.4,0,0,2.5,0,400,0,0,875,875,100,40,0,1.5,0.114,0.301,0.59,11.4,30.1,58.5,16,14.4,25.6,35,10.5,114.2,2,50,24,146.847333333333,25.2778
819,62.3,28.1,2.1,0.5,1,0.5,1,0.4,0,0,2.5,0,450,0,0,830,830,100,40,0,1.5,0.114,0.301,0.59,11.4,30.1,58.5,16,14.4,25.6,35,10.5,114.2,2,50,24,146.615333333333,33.3333
820,56.6652173913044,25.1,2.27217391304348,8.53478260869565,1.26478260869565,0.434782608695652,0.869565217391304,0.634782608695652,0,0,2.48695652173913,60,400,0,0,875,875,112.5,45,0,1.5,0.114,0.301,0.59,12.83,33.86,65.8125,16,16.2,28.8,35,10.5,123.3125,2,50,24,207.875333333333,41.3889
821,62.3,28.1,2.1,0.5,1,0.5,1,0.4,0,0,2.5,0,400,0,0,875,875,100,40,0,1.5,0.114,0.301,0.59,11.4,30.1,58.5,16,14.4,25.6,35,10.5,114.2,2,28,24,118.614,9.83321
822,62.3,28.1,2.1,0.5,1,0.5,1,0.4,0,0,2.5,0,400,0,0,875,875,100,40,0,1.5,0.114,0.301,0.59,11.4,30.1,58.5,16,14.4,25.6,35,10.5,114.2,2,70,24,172.514,35.7548
823,62.3,28.1,2.1,0.5,1,0.5,1,0.4,0,0,2.5,0,400,0,0,875,875,100,40,0,1.5,0.114,0.301,0.59,11.4,30.1,58.5,16,14.4,25.6,35,10.5,114.2,2,90,24,198.180666666667,30.1276
824,62.3,28.1,2.1,0.5,1,0.5,1,0.4,0,0,2.5,0,400,0,0,875,875,100,40,0,1.5,0.114,0.301,0.59,11.4,30.1,58.5,16,14.4,25.6,35,10.5,114.2,1,50,24,130.805666666667,22.7857
825,62.3,28.1,2.1,0.5,1,0.5,1,0.4,0,0,2.5,0,400,0,0,875,875,100,40,0,1.5,0.114,0.301,0.59,11.4,30.1,58.5,16,14.4,25.6,35,10.5,114.2,3,50,24,162.889,28.7857
826,62.3,28.1,2.1,0.5,1,0.5,1,0.4,0,0,2.5,0,400,0,0,875,875,100,40,0,1.5,0.114,0.301,0.59,11.4,30.1,58.5,16,14.4,25.6,35,10.5,114.2,2,50,24,146.847333333333,25.5208
827,62.3,28.1,2.1,0.5,1,0.5,1,0.4,0,0,2.5,0,400,0,0,880,880,100,40,0,1.5,0.114,0.301,0.59,11.4,30.1,58.5,16,14.4,25.6,30,10.5,109.2,2,50,24,146.895333333333,30.625
828,62.3,28.1,2.1,0.5,1,0.5,1,0.4,0,0,2.5,0,400,0,0,895,895,100,40,0,1.5,0.114,0.301,0.59,11.4,30.1,58.5,16,14.4,25.6,20,10.5,99.2,2,50,24,147.039333333333,31.5365
829,62.3,28.1,2.1,0.5,1,0.5,1,0.4,0,0,2.5,0,400,0,0,910,910,100,40,0,1.5,0.114,0.301,0.59,11.4,30.1,58.5,16,14.4,25.6,10,10.5,89.2,2,50,24,147.183333333333,33.1771
830,62.3,28.1,2.1,0.5,1,0.5,1,0.4,0,0,2.5,0,400,0,0,880,880,100,40,0,1.5,0.114,0.301,0.59,11.4,30.1,58.5,16,14.4,25.6,35,7.5,112.4,2,50,24,141.255333333333,27.377
831,62.3,28.1,2.1,0.5,1,0.5,1,0.4,0,0,2.5,0,400,0,0,885,885,100,40,0,1.5,0.114,0.301,0.59,11.4,30.1,58.5,16,14.4,25.6,35,5,110.9,2,50,24,136.603333333333,29.6721
832,62.3,28.1,2.1,0.5,1,0.5,1,0.4,0,0,2.5,0,400,0,0,887,887,100,40,0,1.5,0.114,0.301,0.59,11.4,30.1,58.5,16,14.4,25.6,35,2.5,109.4,2,50,24,131.922533333333,30.4918
833,62.3,28.1,2.1,0.5,1,0.5,1,0.4,0,0,2.5,0,400,0,0,875,875,100,40,0,1.5,0.114,0.301,0.59,11.4,30.1,58.5,18,11.2,28.8,35,10.5,111,2,50,24,152.975333333333,18.5537
834,62.3,28.1,2.1,0.5,1,0.5,1,0.4,0,0,2.5,0,400,0,0,875,875,100,40,0,1.5,0.114,0.301,0.59,11.4,30.1,58.5,12,20.8,19.2,35,10.5,120.6,2,50,24,134.591333333333,16.0047
835,62.3,28.1,2.1,0.5,1,0.5,1,0.4,0,0,2.5,0,400,0,0,840,840,128.5,51.5,0,1.5,0.114,0.301,0.59,14.65,38.68,75.1725,16,18.54,32.96,35,10.5,135.0125,2,50,24,170.865733333333,27.9032
836,62.3,28.1,2.1,0.5,1,0.5,1,0.4,0,0,2.5,0,400,0,0,860,860,114,46,0,1.5,0.114,0.301,0.59,13,34.31,66.69,16,16.56,29.44,35,10.5,124.55,2,50,24,159.096933333333,29.5161
837,62.3,28.1,2.1,0.5,1,0.5,1,0.4,0,0,2.5,0,400,0,0,895,895,85.5,34.5,0,1.5,0.114,0.301,0.59,9.75,25.74,50.0175,16,12.42,22.08,35,10.5,103.7375,2,50,24,135.078533333333,16.129
838,62.3,28.1,2.1,0.5,1,0.5,1,0.4,0,0,2.5,0,400,0,0,875,875,107.5,32.5,0,1.5,0.114,0.301,0.59,12.26,32.36,62.8875,16,11.7,20.8,35,10.5,115.8875,2,50,24,140.355333333333,31.9719
839,62.3,28.1,2.1,0.5,1,0.5,1,0.4,0,0,2.5,0,400,0,0,875,875,93,47,0,1.5,0.114,0.301,0.59,10.6,27.99,54.405,16,16.92,30.08,35,47,134.525,2,50,24,221.526533333333,23.0777
864,40.17,13.86,15.16,9.7,9.57,3.66,1.53,0.09,0,0,4.75,0,0,0,410,740,1110,103,41,2.13,1.53,0.11,0.29,0.6,11.33,29.87,61.8,14,18.04,22.96,101,12.3,188.22,1,40,24,122.6774,19.7
865,40.17,13.86,15.16,9.7,9.57,3.66,1.53,0.09,0,0,4.75,0,0,0,410,740,1110,103,41,2.13,1.53,0.11,0.29,0.6,11.33,29.87,61.8,14,18.04,22.96,101,12.3,188.22,1,80,24,148.344066666667,24.6
866,40.17,13.86,15.16,9.7,9.57,3.66,1.53,0.09,0,0,4.75,0,0,0,410,740,1110,103,41,2.13,1.53,0.11,0.29,0.6,11.33,29.87,61.8,14,18.04,22.96,101,12.3,188.22,2,40,24,132.3024,22.9
867,40.17,13.86,15.16,9.7,9.57,3.66,1.53,0.09,0,0,4.75,0,0,0,410,740,1110,103,41,2.13,1.53,0.11,0.29,0.6,11.33,29.87,61.8,14,18.04,22.96,101,12.3,188.22,2,80,24,183.635733333333,25
868,40.17,13.86,15.16,9.7,9.57,3.66,1.53,0.09,0,0,4.75,0,0,0,410,740,1110,132,53,2.13,1.53,0.11,0.29,0.6,14.52,38.28,79.2,14,23.32,29.68,83,12.3,192.9,1,40,24,145.9862,25.3
869,40.17,13.86,15.16,9.7,9.57,3.66,1.53,0.09,0,0,4.75,0,0,0,410,740,1110,132,53,2.13,1.53,0.11,0.29,0.6,14.52,38.28,79.2,14,23.32,29.68,83,12.3,192.9,1,80,24,171.652866666667,27.8
870,40.17,13.86,15.16,9.7,9.57,3.66,1.53,0.09,0,0,4.75,0,0,0,410,740,1110,132,53,2.13,1.53,0.11,0.29,0.6,14.52,38.28,79.2,14,23.32,29.68,83,12.3,192.9,2,40,24,155.6112,27.1
871,40.17,13.86,15.16,9.7,9.57,3.66,1.53,0.09,0,0,4.75,0,0,0,410,740,1110,132,53,2.13,1.53,0.11,0.29,0.6,14.52,38.28,79.2,14,23.32,29.68,83,12.3,192.9,2,80,24,206.944533333333,29
979,29.945,10.0725,3.005,46.1775,2.035,0.2375,0.8025,2.2325,0.46,0.135,0,225,75,0,0,1193.02,795.35,29.46,11.786,0,0,0.1627,0.3464,0.49,4.79,10.2,14.461914,10,7.0716,4.7144,125.19,0,146.723514,1,100,40,266.602852,25.693423
980,40.58,15.835,3.73,31.275,1.69,0.185,0.745,1.505,0.92,0.27,0,150,150,0,0,1171.48,780.99,58.93,23.57,0,0,0.1627,0.3464,0.49,9.59,20.41,28.928737,10,14.142,9.428,100.38,0,143.450737,1,100,40,223.366276,31.0870805
981,51.215,21.5975,4.455,16.3725,1.345,0.1325,0.6875,0.7775,1.38,0.405,0,75,225,0,0,1149.96,766.64,88.39,35.36,0,0,0.1627,0.3464,0.49,14.38,30.62,43.390651,10,21.216,14.144,75.57,0,140.176651,1,100,40,180.13084,30.3025485
982,57.9,31.11,5.07,1.29,0.97,0.09,1,0.05,0,0,0,0,300,0,0,1128.44,752.29,117.86,47.14,0,0,0.1627,0.3464,0.49,19.18,40.83,57.857474,10,28.284,18.856,50.76,0,136.901474,1,100,40,136.891344,28.439285
983,29.945,10.0725,3.005,46.1775,2.035,0.2375,0.8025,2.2325,0.46,0.135,0,225,75,0,0,1193.58,795.73,24.1,9.64,0,0,0.1627,0.3464,0.49,3.92,8.35,11.83069,10,5.784,3.856,129.7,0,147.31469,1,100,40,263.033928,22.0649625
