Idx_Sample,SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,SO3,TiO2,P2O5,SrO,Mn2O3,MnO,LOI,Cement (kg/m3),FA (kg/m3),GGBFS (kg/m3),SF (kg/m3),Kaolin (kg/m3),Other SCM (kg/m3),Coarse aggregate (kg/m3),Fine aggregate (kg/m3),Na2SiO3,NaOH,NaOH specific gravity,Na2SiO3 specific gravity,Total solution,Na2O (l),Sio2 (l),H2O,Na2O (Dry),Sio2 (Dry),Water,Total NaOH,Concentration (M) NaOH,Water,NaOH (Dry),Additional water,Superplasticizer,water -eff,Initial curing time (day),Initial curing temp (C),Final curing temp (C),Mixture CO2 (Na2SiO3 as solution),28-d Cubic compressive strength (MPa)
192,51.3,30.1,4.57,8.73,0,0,1.56,1.4,0.698,1.6,0,0,0,0,0,400,0,0,0,0,950,850,143,57,0,0,143,0.1426,0.2943,0.56,20.39,42.08,80.5233,57,12,29.64,27.36,48,28,174.9633,1,70,24,195.6294,48.53
193,51.3,30.1,4.57,8.73,0,0,1.56,1.4,0.698,1.6,0,0,0,0,0,400,0,0,0,0,950,850,143,57,0,0,143,0.1426,0.2943,0.56,20.39,42.08,80.5233,57,12,29.64,27.36,48,28,174.9633,2,70,24,224.5044,53.8
194,51.3,30.1,4.57,8.73,0,0,1.56,1.4,0.698,1.6,0,0,0,0,0,400,0,0,0,0,950,850,143,57,0,0,143,0.1426,0.2943,0.56,20.39,42.08,80.5233,57,12,29.64,27.36,48,28,174.9633,3,70,24,253.3794,53.92
195,51.3,30.1,4.57,8.73,0,0,1.56,1.4,0.698,1.6,0,0,0,0,0,400,0,0,0,0,950,850,143,57,0,0,143,0.1426,0.2943,0.56,20.39,42.08,80.5233,57,12,29.64,27.36,48,28,174.9633,4,70,24,282.2544,53.99
196,51.3,30.1,4.57,8.73,0,0,1.56,1.4,0.698,1.6,0,0,0,0,0,400,0,0,0,0,950,850,143,57,0,0,143,0.1426,0.2943,0.56,20.39,42.08,80.5233,57,12,29.64,27.36,48,28,174.9633,2,60,24,211.671066666667,47.54
197,51.3,30.1,4.57,8.73,0,0,1.56,1.4,0.698,1.6,0,0,0,0,0,400,0,0,0,0,950,850,143,57,0,0,143,0.1426,0.2943,0.56,20.39,42.08,80.5233,57,12,29.64,27.36,48,28,174.9633,2,70,24,224.5044,53.8
198,51.3,30.1,4.57,8.73,0,0,1.56,1.4,0.698,1.6,0,0,0,0,0,400,0,0,0,0,950,850,143,57,0,0,143,0.1426,0.2943,0.56,20.39,42.08,80.5233,57,12,29.64,27.36,48,28,174.9633,2,80,24,237.337733333333,50.77
199,51.3,30.1,4.57,8.73,0,0,1.56,1.4,0.698,1.6,0,0,0,0,0,400,0,0,0,0,950,850,143,57,0,0,143,0.1426,0.2943,0.56,20.39,42.08,80.5233,57,12,29.64,27.36,48,28,174.9633,2,90,24,250.171066666667,50.42
399,52.75,19.97,2.285,20.565,1.025,0.47,0.885,0.2,0.545,0,0,0,0,1.43,0,194,194,0,0,0,1241,523,49.6,24.8,0,1.54,49.6,0.1434,0.3223,0.53,7.11,15.99,26.50128,24.8,3,21.824,2.976,0,0,48.32528,0,25,24,42.88624,52
400,62.1,27.44,4.57,0.83,0.55,0.04,1.17,0.4,1.09,0,0,0.04,0,0.76,0,388,0,0,0,0,1241,523,49.6,24.8,0,1.54,49.6,0.1434,0.3223,0.53,7.11,15.99,26.50128,24.8,8,16.864,7.936,0,0,43.36528,1,60,24,65.5309733333333,16
