Idx_Sample,SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,SO3,TiO2,P2O5,LOI,FA (kg/m3),Coarse aggregate (kg/m3),Fine aggregate (kg/m3),Na2SiO3,NaOH,Total solution,Na2O (Dry),Sio2 (Dry),Concentration (M) NaOH,Water,NaOH (Dry),Additional water,Superplasticizer,water -eff,Initial curing time (day),Initial curing temp (C),Initial curing rest time (day),Mixture CO2 (Na2SiO3 as solution),7-d Cylindrical compressive strength (MPa)
1,53.36,26.49,10.86,1.34,0.77,0.37,0.8,1.7,1.47,1.43,1.39,476,1294,554,48,120,48,7.06,14.11,8,81.6,38.4,0,0,108.432,1,60,0,124.048733333333,17
2,53.36,26.49,10.86,1.34,0.77,0.37,0.8,1.7,1.47,1.43,1.39,476,1294,554,120,48,120,17.64,35.28,8,32.64,15.36,0,0,99.72,0.166666667,30,0,83.9235222232917,8
3,53.36,26.49,10.86,1.34,0.77,0.37,0.8,1.7,1.47,1.43,1.39,476,1294,554,120,48,120,17.64,35.28,8,32.64,15.36,0,0,99.72,0.166666667,60,0,87.1318555630417,24
4,53.36,26.49,10.86,1.34,0.77,0.37,0.8,1.7,1.47,1.43,1.39,476,1294,554,120,48,120,17.64,35.28,8,32.64,15.36,0,0,99.72,0.166666667,90,0,90.3401889027917,37
5,53.36,26.49,10.86,1.34,0.77,0.37,0.8,1.7,1.47,1.43,1.39,476,1294,554,120,48,120,17.64,35.28,8,32.64,15.36,0,0,99.72,1,30,0,86.5971333333333,20
6,53.36,26.49,10.86,1.34,0.77,0.37,0.8,1.7,1.47,1.43,1.39,476,1294,554,120,48,120,17.64,35.28,8,32.64,15.36,0,0,99.72,1,60,0,105.847133333333,57
7,53.36,26.49,10.86,1.34,0.77,0.37,0.8,1.7,1.47,1.43,1.39,476,1294,554,120,48,120,17.64,35.28,8,32.64,15.36,0,0,99.72,1,90,0,125.097133333333,66
8,53.36,26.49,10.86,1.34,0.77,0.37,0.8,1.7,1.47,1.43,1.39,476,1294,554,48,120,48,7.06,14.11,14,52.8,67.2,0,0,79.632,1,60,0,179.200733333333,48
9,53.36,26.49,10.86,1.34,0.77,0.37,0.8,1.7,1.47,1.43,1.39,476,1294,554,120,48,120,17.64,35.28,14,21.12,26.88,0,0,88.2,2,30,0,111.866266666667,49
10,53.36,26.49,10.86,1.34,0.77,0.37,0.8,1.7,1.47,1.43,1.39,476,1294,554,120,48,120,17.64,35.28,14,21.12,26.88,0,0,88.2,0.166666667,60,0,109.192655563042,25
11,53.36,26.49,10.86,1.34,0.77,0.37,0.8,1.7,1.47,1.43,1.39,476,1294,554,120,48,120,17.64,35.28,14,21.12,26.88,0,0,88.2,0.166666667,90,0,112.400988902792,30
12,53.36,26.49,10.86,1.34,0.77,0.37,0.8,1.7,1.47,1.43,1.39,476,1294,554,120,48,120,17.64,35.28,14,21.12,26.88,0,0,88.2,1,30,0,108.657933333333,29
13,53.36,26.49,10.86,1.34,0.77,0.37,0.8,1.7,1.47,1.43,1.39,476,1294,554,120,48,120,17.64,35.28,14,21.12,26.88,0,0,88.2,1,60,0,127.907933333333,68
14,53.36,26.49,10.86,1.34,0.77,0.37,0.8,1.7,1.47,1.43,1.39,476,1294,554,120,48,120,17.64,35.28,14,21.12,26.88,0,0,88.2,1,90,0,147.157933333333,70
15,48,29,12.7,1.78,0.89,0.39,0.55,0.5,1.67,1.69,1.61,408,1294,554,103,51.5,103,15.14,30.28,14,22.66,28.84,16.5,0,96.737,1,60,0,125.269333333333,42
16,48,29,12.7,1.78,0.89,0.39,0.55,0.5,1.67,1.69,1.61,408,1294,554,103,51.5,103,15.14,30.28,14,22.66,28.84,16.5,4.1,99.197,1,60,0,132.977333333333,41
17,48,29,12.7,1.78,0.89,0.39,0.55,0.5,1.67,1.69,1.61,408,1294,554,103,51.5,103,15.14,30.28,14,22.66,28.84,16.5,8.2,101.657,1,60,0,140.685333333333,41
18,48,29,12.7,1.78,0.89,0.39,0.55,0.5,1.67,1.69,1.61,408,1294,554,103,51.5,103,15.14,30.28,14,22.66,28.84,16.5,16.3,106.517,1,60,0,155.913333333333,36
19,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,1.1,408,1201,647,103,41,103,15.14,30.28,12,21.32,19.68,14.3,6.1,96.857,1,60,0,119.195933333333,40
20,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,1.1,408,1201,647,103,41,103,15.14,30.28,12,21.32,19.68,14.3,6.1,96.857,1,60,1,119.195933333333,41
21,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,1.1,408,1201,647,103,41,103,15.14,30.28,12,21.32,19.68,14.3,6.1,96.857,1,60,2,119.195933333333,48
22,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,1.1,408,1201,647,103,41,103,15.14,30.28,12,21.32,19.68,14.3,6.1,96.857,1,60,3,119.195933333333,50
23,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,1.1,408,1201,647,103,41,103,15.14,30.28,12,21.32,19.68,14.3,6.1,96.857,1,60,4,119.195933333333,49
24,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,1.1,408,1201,647,103,41,103,15.14,30.28,14,18.04,22.96,17.6,6.1,96.877,1,60,0,125.477133333333,43
25,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,1.1,408,1201,647,103,41,103,15.14,30.28,14,18.04,22.96,17.6,6.1,96.877,1,60,1,125.477133333333,53
26,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,1.1,408,1201,647,103,41,103,15.14,30.28,14,18.04,22.96,17.6,6.1,96.877,1,60,2,125.477133333333,56
27,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,1.1,408,1201,647,103,41,103,15.14,30.28,14,18.04,22.96,17.6,6.1,96.877,1,60,3,125.477133333333,57
28,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,1.1,408,1201,647,103,41,103,15.14,30.28,14,18.04,22.96,17.6,6.1,96.877,1,60,4,125.477133333333,57
29,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,1.1,408,1201,647,103,41,103,15.14,30.28,14,18.04,22.96,17.6,6.1,96.877,1,60,5,125.477133333333,58
30,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,1.1,408,1201,647,103,41,103,15.14,30.28,12,21.32,19.68,14.3,6.1,96.857,1,60,0,119.195933333333,38
31,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,1.1,408,1201,647,103,41,103,15.14,30.28,12,21.32,19.68,14.3,6.1,96.857,1,60,1,119.195933333333,53
32,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,1.1,408,1201,647,103,41,103,15.14,30.28,12,21.32,19.68,14.3,6.1,96.857,1,60,2,119.195933333333,56
33,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,1.1,408,1201,647,103,41,103,15.14,30.28,12,21.32,19.68,14.3,6.1,96.857,1,60,3,119.195933333333,59
34,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,1.1,408,1201,647,103,41,103,15.14,30.28,12,21.32,19.68,14.3,6.1,96.857,1,60,4,119.195933333333,59
35,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,1.1,408,1201,647,103,41,103,15.14,30.28,12,21.32,19.68,14.3,6.1,96.857,1,60,5,119.195933333333,59
36,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,1.1,408,1201,647,103,41,103,15.14,30.28,8,27.88,13.12,0,6.1,89.117,1,60,0,106.633533333333,63
37,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,1.1,408,1201,647,103,41,103,15.14,30.28,8,27.88,13.12,0,6.1,89.117,1,60,1,106.633533333333,74
38,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,1.1,408,1201,647,103,41,103,15.14,30.28,8,27.88,13.12,0,6.1,89.117,1,60,2,106.633533333333,73
39,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,1.1,408,1201,647,103,41,103,15.14,30.28,8,27.88,13.12,0,6.1,89.117,1,60,3,106.633533333333,76
40,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,1.1,408,1201,647,103,41,103,15.14,30.28,8,27.88,13.12,0,6.1,89.117,1,60,4,106.633533333333,75
