Idx_Sample,SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,SO3,TiO2,P2O5,SrO,Mn2O3,LOI,Cement (kg/m3),FA (kg/m3),GGBFS (kg/m3),SF (kg/m3),Kaolin (kg/m3),Coarse aggregate (kg/m3),Fine aggregate (kg/m3),Na2SiO3,NaOH,Na2SiO3 specific gravity,Total solution,Na2O (l),Sio2 (l),H2O,Na2O (Dry),Sio2 (Dry),Water,Total NaOH,Concentration (M) NaOH,Water,NaOH (Dry),Additional water,Superplasticizer,water -eff,Initial curing time (day),Initial curing temp (C),Mixture CO2 (Na2SiO3 as solution),7-d Cylindrical compressive strength (MPa)
133,50.3,26.3,13.6,2.27,1.44,0.36,0.55,0.32,0,1.58,0,0,0.6,0,408,0,0,0,1201,647,103,41,0,103,0.1473,0.2975,0.56,15.17,30.64,57.1856,41,14,18.04,22.96,0,6.1,78.8856,1,60,125.477133333333,30.92
134,50.3,26.3,13.6,2.27,1.44,0.36,0.55,0.32,0,1.58,0,0,0.6,0,408,0,0,0,1201,647,103,41,0,103,0.1473,0.2975,0.56,15.17,30.64,57.1856,41,14,18.04,22.96,0,6.1,78.8856,1,60,125.477133333333,38.32
135,50.3,26.3,13.6,2.27,1.44,0.36,0.55,0.32,0,1.58,0,0,0.6,0,408,0,0,0,1201,647,103,41,0,103,0.1473,0.2975,0.56,15.17,30.64,57.1856,41,14,18.04,22.96,0,6.1,78.8856,1,60,125.477133333333,67.09
136,50.3,26.3,13.6,2.27,1.44,0.36,0.55,0.32,0,1.58,0,0,0.6,0,444,0,0,0,1140,630,111,44,0,103,0.1473,0.2975,0.56,15.17,30.64,57.1856,44,14,18.04,24.64,0,6.1,78.8856,1,60,131.343933333333,45.96
137,50.3,26.3,13.6,2.27,1.44,0.36,0.55,0.32,0,1.58,0,0,0.6,0,356,0,0,0,1248,672,89,36,0,111,0.1473,0.2975,0.56,16.35,33.02,61.6272,36,14,19.36,20.16,0,6.1,84.6472,1,60,115.212733333333,24.19
138,50.3,26.3,13.6,2.27,1.44,0.36,0.55,0.32,0,1.58,0,0,0.6,0,424,0,0,0,1201,647,91,36,0,89,0.1473,0.2975,0.56,13.11,26.48,49.4128,36,14,15.84,20.16,0,6.1,68.9128,1,60,115.859133333333,32.45
139,50.3,26.3,13.6,2.27,1.44,0.36,0.55,0.32,0,1.58,0,0,0.6,0,381,0,0,0,1201,647,122,49,0,103,0.1473,0.2975,0.56,15.17,30.64,57.1856,49,14,18.04,27.44,0,6.1,78.8856,1,60,140.788333333333,35.14
140,50.3,26.3,13.6,2.27,1.44,0.36,0.55,0.32,0,1.58,0,0,0.6,0,408,0,0,0,1292,554,103,41,0,91,0.1473,0.2975,0.56,13.4,27.07,50.5232,41,14,15.84,22.96,0,6.1,70.0232,1,60,125.467533333333,32
141,33.45,13.46,0.31,41.74,5.99,0.16,0.29,2.74,0.84,0.12,0,0.4,0,0,0,419,0,0,1039,784,53,56,0,53,0.147,0.294,0.56,7.79,15.58,29.627,56,10,33.6,22.4,137,0,200.227,0,25,92.5144,25
142,33.45,13.46,0.31,41.74,5.99,0.16,0.29,2.74,0.84,0.12,0,0.4,0,0,0,415,0,0,1039,784,71,46,0,71,0.147,0.294,0.56,10.44,20.87,39.689,46,10,27.6,18.4,136,0,203.289,0,25,91.1264,35.4
143,33.45,13.46,0.31,41.74,5.99,0.16,0.29,2.74,0.84,0.12,0,0.4,0,0,0,412,0,0,1039,784,87,33,0,87,0.147,0.294,0.56,12.79,25.58,48.633,33,10,19.8,13.2,135,0,203.433,0,25,86.7724,37
144,49.45,29.61,10.72,3.47,1.3,0.31,0.54,0.27,1.76,0.53,0,0.17,1.45,0,476,0,0,0,1039,784,90,95,0,90,0.147,0.294,0.56,13.23,26.46,50.31,95,10,57,38,40,0,147.31,0,25,115.8244,39.1
145,49.45,29.61,10.72,3.47,1.3,0.31,0.54,0.27,1.76,0.53,0,0.17,1.45,0,467,0,0,0,1039,784,119,75,0,119,0.147,0.294,0.56,17.49,34.99,66.521,75,10,45,30,38,0,149.521,0,25,110.9084,51.3
146,49.45,29.61,10.72,3.47,1.3,0.31,0.54,0.27,1.76,0.53,0,0.17,1.45,0,461,0,0,0,1039,784,147,56,0,147,0.147,0.294,0.56,21.61,43.22,82.173,56,10,33.6,22.4,36,0,151.773,0,25,106.4104,52.5
366,52.54,26.74,11.12,1.28,0.87,0.47,0.82,1.7,1.57,1.53,0,0,1.36,0,450,0,0,0,1211.9,579.35,128.63,51.45,0,128.63,0.147,0.294,0.56,18.91,37.82,71.90417,51.45,8,34.986,16.464,0,0,106.89017,1,60,110.691693333333,36.18
367,52.54,26.74,11.12,1.28,0.87,0.47,0.82,1.7,1.57,1.53,0,0,1.36,0,450,0,0,0,1211.9,579.35,128.63,51.45,0,128.63,0.147,0.294,0.56,18.91,37.82,71.90417,51.45,10,30.87,20.58,0,0,102.77417,1,60,118.573833333333,35.83
368,52.54,26.74,11.12,1.28,0.87,0.47,0.82,1.7,1.57,1.53,0,0,1.36,0,450,0,0,0,1211.9,579.35,128.63,51.45,0,128.63,0.147,0.294,0.56,18.91,37.82,71.90417,51.45,12,26.754,24.696,0,0,98.65817,1,60,126.455973333333,34.92
369,52.54,26.74,11.12,1.28,0.87,0.47,0.82,1.7,1.57,1.53,0,0,1.36,0,450,0,0,0,1211.9,579.35,144.68,57.88,0,144.68,0.147,0.294,0.56,21.27,42.54,80.87612,57.88,8,39.3584,18.5216,0,0,120.23452,1,60,120.409997333333,37.36
370,52.54,26.74,11.12,1.28,0.87,0.47,0.82,1.7,1.57,1.53,0,0,1.36,0,450,0,0,0,1211.9,579.35,144.68,57.88,0,144.68,0.147,0.294,0.56,21.27,42.54,80.87612,57.88,10,34.728,23.152,0,0,115.60412,1,60,129.277213333333,36.23
371,52.54,26.74,11.12,1.28,0.87,0.47,0.82,1.7,1.57,1.53,0,0,1.36,0,450,0,0,0,1211.9,579.35,144.68,57.88,0,144.68,0.147,0.294,0.56,21.27,42.54,80.87612,57.88,12,30.0976,27.7824,0,0,110.97372,1,60,138.144429333333,35.67
372,52.54,26.74,11.12,1.28,0.87,0.47,0.82,1.7,1.57,1.53,0,0,1.36,0,450,0,0,0,1211.9,579.35,160.78,64.31,0,160.78,0.147,0.294,0.56,23.63,47.27,89.87602,64.31,8,43.7308,20.5792,0,0,133.60682,1,60,130.146301333333,38.72
373,52.54,26.74,11.12,1.28,0.87,0.47,0.82,1.7,1.57,1.53,0,0,1.36,0,450,0,0,0,1211.9,579.35,160.78,64.31,0,160.78,0.147,0.294,0.56,23.63,47.27,89.87602,64.31,10,38.586,25.724,0,0,128.46202,1,60,139.998593333333,37
374,52.54,26.74,11.12,1.28,0.87,0.47,0.82,1.7,1.57,1.53,0,0,1.36,0,450,0,0,0,1211.9,579.35,160.78,64.31,0,160.78,0.147,0.294,0.56,23.63,47.27,89.87602,64.31,12,33.4412,30.8688,0,0,123.31722,1,60,149.850885333333,36.45
375,52.54,26.74,11.12,1.28,0.87,0.47,0.82,1.7,1.57,1.53,0,0,1.36,0,450,0,0,0,1211.9,579.35,176.85,70.74,0,176.85,0.147,0.294,0.56,26,51.99,98.85915,70.74,8,48.1032,22.6368,0,0,146.96235,1,60,139.871805333333,36.27
376,52.54,26.74,11.12,1.28,0.87,0.47,0.82,1.7,1.57,1.53,0,0,1.36,0,450,0,0,0,1211.9,579.35,176.85,70.74,0,176.85,0.147,0.294,0.56,26,51.99,98.85915,70.74,10,42.444,28.296,0,0,141.30315,1,60,150.709173333333,35.54
